class_id,class_name,instance_count,image_count,val_instance_count,avg_bbox_area
18,F16,902,545,98,609064.9090909091
19,F18,885,450,106,418649.8824858757
17,F15,851,515,95,462279.910693302
21,F35,746,515,76,431471.5201072386
8,C130,651,450,92,576636.7173579109
39,V22,594,390,67,359899.43265993265
10,C2,516,413,91,571038.9379844961
0,A10,463,309,42,576871.9006479481
38,US2,457,410,53,304018.31291028444
20,F22,450,270,51,424879.76666666666
4,B1,441,313,43,715039.5873015873
22,F4,411,286,45,442151.4136253041
14,EF2000,388,240,43,355015.61597938143
23,J20,378,194,40,276066.1931216931
30,Rafale,369,225,58,446934.9214092141
16,F14,358,198,27,222463.6061452514
24,JAS39,350,225,41,304292.4485714286
9,C17,348,274,61,723876.8390804598
6,B52,343,223,63,328468.55393586005
5,B2,340,282,33,374476.3470588235
27,Mirage2000,297,169,35,406242.16835016833
12,E2,287,216,44,578921.7038327527
3,AV8B,274,184,54,1315488.9489051094
34,Tornado,273,181,48,862216.6007326008
11,C5,272,239,30,676017.2867647059
1,A400M,269,213,49,780183.092936803
40,Vulcan,256,217,26,395620.703125
25,MQ9,246,214,21,676726.9959349594
15,F117,239,136,29,184610.5690376569
33,Su57,230,153,33,219292.18260869564
26,Mig31,225,148,41,339106.29333333333
29,RQ4,212,169,38,675015.1462264151
32,Su34,210,160,26,331454.18095238094
7,Be200,209,190,18,412870.85167464113
37,U2,208,180,20,800429.0769230769
31,SR71,206,174,19,282773.1067961165
36,Tu95,197,135,31,202011.8578680203
35,Tu160,192,156,25,288589.734375
2,AG600,153,149,15,376457.7908496732
41,XB70,119,111,15,558598.2352941176
28,P3,118,103,16,893953.6949152543
42,YF23,97,76,18,340780.75257731957
13,E7,86,78,9,1929418.488372093
