class_id,class_name,group,instance_count,image_count,val_instance_count
18,F16,head,902,545,98
19,F18,head,885,450,106
17,F15,head,851,515,95
21,F35,head,746,515,76
8,C130,head,651,450,92
39,V22,head,594,390,67
10,C2,head,516,413,91
0,A10,head,463,309,42
38,US2,head,457,410,53
20,F22,head,450,270,51
4,B1,head,441,313,43
22,F4,head,411,286,45
14,EF2000,head,388,240,43
23,J20,medium,378,194,40
30,Rafale,medium,369,225,58
16,F14,medium,358,198,27
24,JAS39,medium,350,225,41
9,C17,medium,348,274,61
6,B52,medium,343,223,63
5,B2,medium,340,282,33
27,Mirage2000,medium,297,169,35
12,E2,medium,287,216,44
3,AV8B,medium,274,184,54
34,Tornado,medium,273,181,48
11,C5,medium,272,239,30
1,A400M,medium,269,213,49
40,Vulcan,medium,256,217,26
25,MQ9,medium,246,214,21
15,F117,medium,239,136,29
33,Su57,medium,230,153,33
26,Mig31,tail,225,148,41
29,RQ4,tail,212,169,38
32,Su34,tail,210,160,26
7,Be200,tail,209,190,18
37,U2,tail,208,180,20
31,SR71,tail,206,174,19
36,Tu95,tail,197,135,31
35,Tu160,tail,192,156,25
2,AG600,tail,153,149,15
41,XB70,tail,119,111,15
28,P3,tail,118,103,16
42,YF23,tail,97,76,18
13,E7,tail,86,78,9
