source_image,output_image,class_id,class_name,prompt,seed,accepted,reject_reason,bbox_pixel_diff,mask_padding,inference_steps,label_count_original,label_count_output,label_sanity_ok,output_exists,output_size_matches,nontrivial_image
/content/data/processed/base/images/train/00afb4420bdce881ad216867c713c800.jpg,/content/data/processed/synthetic_inpaint/images/train/00afb4420bdce881ad216867c713c800_selective_c26_0000_s2600042.jpg,26,Mig31,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",2600042,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/03e7dd6896f2169a2a94344b0b2fc254.jpg,/content/data/processed/synthetic_inpaint/images/train/03e7dd6896f2169a2a94344b0b2fc254_selective_c26_0001_s2600043.jpg,26,Mig31,"realistic runway background, military airbase, natural lighting, aviation photography",2600043,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/051ec72ab08331757c558a8765747ca5.jpg,/content/data/processed/synthetic_inpaint/images/train/051ec72ab08331757c558a8765747ca5_selective_c26_0002_s2600044.jpg,26,Mig31,"cloudy sky background, realistic atmosphere, aviation photography",2600044,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/0744af736b82a808b07095558c94fe71.jpg,/content/data/processed/synthetic_inpaint/images/train/0744af736b82a808b07095558c94fe71_selective_c26_0003_s2600045.jpg,26,Mig31,"clear blue sky, sunlight, realistic aircraft photography",2600045,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/0a36e5862664eb92575949fc3ce7f842.jpg,/content/data/processed/synthetic_inpaint/images/train/0a36e5862664eb92575949fc3ce7f842_selective_c26_0004_s2600046.jpg,26,Mig31,"desert airfield background, haze, realistic lighting",2600046,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/0af3a80affb05a409c3348a3f3c4986e.jpg,/content/data/processed/synthetic_inpaint/images/train/0af3a80affb05a409c3348a3f3c4986e_selective_c26_0005_s2600047.jpg,26,Mig31,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",2600047,True,,0.0,0.1,20,2,2,True,True,True,True
/content/data/processed/base/images/train/0ecb0afee47001d7fc35dacec2e2dcb7.jpg,/content/data/processed/synthetic_inpaint/images/train/0ecb0afee47001d7fc35dacec2e2dcb7_selective_c26_0006_s2600048.jpg,26,Mig31,"realistic runway background, military airbase, natural lighting, aviation photography",2600048,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/1017bee1cb942afd835a29edd0418358.jpg,/content/data/processed/synthetic_inpaint/images/train/1017bee1cb942afd835a29edd0418358_selective_c26_0007_s2600049.jpg,26,Mig31,"cloudy sky background, realistic atmosphere, aviation photography",2600049,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/111a988bc0caa8ff369969d24352704f.jpg,/content/data/processed/synthetic_inpaint/images/train/111a988bc0caa8ff369969d24352704f_selective_c26_0008_s2600050.jpg,26,Mig31,"clear blue sky, sunlight, realistic aircraft photography",2600050,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/1146c5928e6958d0767d08245d4596a1.jpg,/content/data/processed/synthetic_inpaint/images/train/1146c5928e6958d0767d08245d4596a1_selective_c26_0009_s2600051.jpg,26,Mig31,"desert airfield background, haze, realistic lighting",2600051,True,,0.0,0.1,20,1,1,True,True,True,True
/content/data/processed/base/images/train/14adbaa9dc68407aa0d75d683b29ae9d.jpg,/content/data/processed/synthetic_inpaint/images/train/14adbaa9dc68407aa0d75d683b29ae9d_selective_c26_0010_s2600052.jpg,26,Mig31,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",2600052,True,,0.0,0.1,20,3,3,True,True,True,True
