class_id,class_name,instance_count,image_count,val_instance_count,avg_bbox_area
8,C130,141,96,76,724029.8580415586
10,C2,105,88,78,831082.3486862988
6,B52,104,50,57,142877.5278502119
0,A10,96,67,36,945076.1096223741
4,B1,96,69,36,1123286.8947414595
9,C17,77,56,51,347481.0650226169
14,EF2000,76,50,29,477744.249850518
12,E2,71,50,44,414339.7447004986
5,B2,64,53,31,416267.9611943598
11,C5,58,57,23,611377.4051338488
3,AV8B,56,36,43,902965.5838027162
1,A400M,43,39,47,649924.4235695298
15,F117,43,32,27,205204.03675692022
7,Be200,41,40,16,462842.03665286105
2,AG600,36,34,13,379084.42595078086
13,E7,17,16,7,2086446.7462066968
