class_id,class_name,group,instance_count,image_count,val_instance_count,group_threshold
8,C130,head,141,96,76,medium
10,C2,head,105,88,78,medium
6,B52,head,104,50,57,medium
0,A10,head,96,67,36,medium
4,B1,head,96,69,36,medium
9,C17,medium,77,56,51,medium
14,EF2000,medium,76,50,29,medium
12,E2,medium,71,50,44,medium
5,B2,medium,64,53,31,medium
11,C5,medium,58,57,23,medium
3,AV8B,medium,56,36,43,medium
1,A400M,tail,43,39,47,tail
15,F117,tail,43,32,27,tail
7,Be200,tail,41,40,16,tail
2,AG600,tail,36,34,13,tail
13,E7,tail,17,16,7,tail
