experiment,scope,eval_split,n_seeds,macro_ap_mean,macro_ap_std,ci_low,ci_high,confidence
aug_copy_paste,all,val,1,0.15287142364586953,0.0,,,0.95
aug_oversample,all,val,1,0.15407276756447363,0.0,,,0.95
aug_rfs,all,val,1,0.12075207248161983,0.0,,,0.95
aug_selective_inpaint,all,val,1,0.14046939101166833,0.0,,,0.95
aug_uniform_inpaint,all,val,1,0.1348568960947562,0.0,,,0.95
basic_aug,all,val,1,0.12075207248161983,0.0,,,0.95
real_only,all,val,1,0.1491043078632496,0.0,,,0.95
aug_copy_paste,tail,val,1,0.16371569003998798,0.0,,,0.95
aug_oversample,tail,val,1,0.19574592223621962,0.0,,,0.95
aug_rfs,tail,val,1,0.11050254114624639,0.0,,,0.95
aug_selective_inpaint,tail,val,1,0.13287726700270672,0.0,,,0.95
aug_uniform_inpaint,tail,val,1,0.13238177125634604,0.0,,,0.95
basic_aug,tail,val,1,0.11050254114624639,0.0,,,0.95
real_only,tail,val,1,0.16789524354799512,0.0,,,0.95
