source_image,output_image,class_id,class_name,prompt,seed,accepted,reject_reason,dry_run,bbox_pixel_diff,background_pixel_diff,background_ssim,lpips,verification_passed,verification_fail_reason,mask_padding,inference_steps,label_count_original,label_count_output,label_sanity_ok,output_exists,output_size_matches,nontrivial_image
/content/data/processed_pilot/base/images/train/01a9c84cf8d5523da74a5a3e3ddc535f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/01a9c84cf8d5523da74a5a3e3ddc535f_uniform_c1_0000_s100042.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100042,False,verification_failed:background_unchanged,False,7.098148345947266,6.531939506530762,0.9615006183952424,0.10231998562812805,False,background_unchanged,0.08,10,1,0,False,True,True,True
/content/data/processed_pilot/base/images/train/01eec1ab0a324ad589c8966ef232abc5.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/01eec1ab0a324ad589c8966ef232abc5_uniform_c1_0001_s100043.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100043,False,verification_failed:background_unchanged,False,6.733550071716309,7.3034491539001465,0.9011867338241124,0.13474589586257935,False,background_unchanged,0.08,10,1,0,False,True,True,True
/content/data/processed_pilot/base/images/train/05d59a12f6323d082b1cfd07a9673852.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05d59a12f6323d082b1cfd07a9673852_uniform_c1_0002_s100044.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100044,True,already_exists_verified,False,1.0886563062667847,15.357699394226074,0.8565452211827651,0.2789378762245178,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/05ef1b83fab31eb6a2547c1b5c901873.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05ef1b83fab31eb6a2547c1b5c901873_uniform_c1_0003_s100045.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100045,True,already_exists_verified,False,0.4816490411758423,13.286293983459473,0.7348810302489783,0.18348070979118347,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0819904ba018364295a314dc6d1dce9d.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0819904ba018364295a314dc6d1dce9d_uniform_c1_0004_s100046.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100046,True,already_exists_verified,False,0.3944408893585205,15.38869857788086,0.7527901833019236,0.10149060934782028,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/09c31c9c8acf27ece476a67280b27a8f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/09c31c9c8acf27ece476a67280b27a8f_uniform_c1_0005_s100047.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100047,True,already_exists_verified,False,1.364989995956421,15.212668418884277,0.8802604783750481,0.33945727348327637,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0a89565a88041220e21da1029da7996e.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0a89565a88041220e21da1029da7996e_uniform_c1_0006_s100048.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100048,True,already_exists_verified,False,0.2718273401260376,31.157047271728516,0.407480640151251,0.3156979978084564,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0b1163fd37945dd5e787a7e9c6e4afb8.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/0b1163fd37945dd5e787a7e9c6e4afb8_uniform_c1_0007_s100049.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100049,False,verification_failed:background_unchanged,False,4.720373153686523,2.424528121948242,0.9929855337471798,0.013604911975562572,False,background_unchanged,0.08,10,2,0,False,True,True,True
/content/data/processed_pilot/base/images/train/0c87d94036b714a469ce88b5a56381df.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0c87d94036b714a469ce88b5a56381df_uniform_c1_0008_s100050.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100050,True,already_exists_verified,False,0.23054368793964386,15.330700874328613,0.6671380661965005,0.03032292239367962,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0cd8e3527ff8843c0abed0f2b4237b2f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/0cd8e3527ff8843c0abed0f2b4237b2f_uniform_c1_0009_s100051.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100051,False,verification_failed:background_unchanged,False,3.8947370052337646,2.7823054790496826,0.9909407114670575,0.00973668321967125,False,background_unchanged,0.08,10,2,0,False,True,True,True
/content/data/processed_pilot/base/images/train/0d4df0394b30ef029ebdab78adb0497b.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d4df0394b30ef029ebdab78adb0497b_uniform_c1_0010_s100052.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100052,True,already_exists_verified,False,0.5842117667198181,23.91679573059082,0.48800560008512744,0.16570720076560974,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0d6d9ddd77e8e06d0ad3f90d86562b77.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d6d9ddd77e8e06d0ad3f90d86562b77_uniform_c1_0011_s100053.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100053,True,already_exists_verified,False,1.0082037448883057,13.303791046142578,0.3654283231555468,0.07897371053695679,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0df039260ed7ea35241dae4fb0ba8ce3.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0df039260ed7ea35241dae4fb0ba8ce3_uniform_c1_0012_s100054.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100054,True,already_exists_verified,False,0.9031410217285156,10.183271408081055,0.9806595642553594,0.21389971673488617,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0e716f31bca23b339e850909cd87f3ee.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0e716f31bca23b339e850909cd87f3ee_uniform_c1_0013_s100055.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100055,True,already_exists_verified,False,0.4380413889884949,18.656539916992188,0.7462538689727541,0.10228133201599121,True,,0.08,10,3,3,True,True,True,True
/content/data/processed_pilot/base/images/train/10b5be01a0076494be580195fba068b9.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/10b5be01a0076494be580195fba068b9_uniform_c1_0014_s100056.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100056,True,already_exists_verified,False,0.208936408162117,16.072423934936523,0.7304082893041209,0.08969911187887192,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/123a1d94a3f5fb17755c913227e22ce6.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/123a1d94a3f5fb17755c913227e22ce6_uniform_c1_0015_s100057.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100057,True,already_exists_verified,False,1.358354091644287,16.949087142944336,0.8068768993610979,0.265020489692688,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/1404c8bff2966732e6a92d5540b3eee0.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1404c8bff2966732e6a92d5540b3eee0_uniform_c1_0016_s100058.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100058,True,already_exists_verified,False,0.204464390873909,17.877246856689453,0.7354084064008184,0.25853458046913147,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/1486c1a22cf03def2caea6b762e38282.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/1486c1a22cf03def2caea6b762e38282_uniform_c1_0017_s100059.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100059,False,verification_failed:background_unchanged,False,14.015275001525879,6.6712541580200195,0.9927118363637172,0.02887457050383091,False,background_unchanged,0.08,10,2,0,False,True,True,True
/content/data/processed_pilot/base/images/train/171770f46575ca726c7ffc46227791fe.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/171770f46575ca726c7ffc46227791fe_uniform_c1_0018_s100060.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100060,True,already_exists_verified,False,0.2800482511520386,12.0333833694458,0.9425834846122458,0.32256290316581726,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/188ca74e68f97684d5093c2922590a8f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/188ca74e68f97684d5093c2922590a8f_uniform_c1_0019_s100061.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100061,True,already_exists_verified,False,0.5996967554092407,13.923377990722656,0.672119042379923,0.2842821776866913,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/1baa21016514467a1e39a7681df8a287.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1baa21016514467a1e39a7681df8a287_uniform_c1_0020_s100062.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100062,True,already_exists_verified,False,0.7668272852897644,31.493072509765625,0.5002823862458721,0.5714908242225647,True,,0.08,10,2,2,True,True,True,True
/content/data/processed_pilot/base/images/train/1c5d2dc14a867dd109bb37dd5f089d8a.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/rejected/1c5d2dc14a867dd109bb37dd5f089d8a_uniform_c1_0021_s100063.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100063,False,verification_failed:background_unchanged,False,5.077292442321777,3.9666411876678467,0.8949699778439393,0.005480245221406221,False,background_unchanged,0.08,10,1,0,False,True,True,True
/content/data/processed_pilot/base/images/train/1e5c8eec9398303eab6d1bd287877de7.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1e5c8eec9398303eab6d1bd287877de7_uniform_c1_0022_s100064.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100064,True,already_exists_verified,False,0.20770548284053802,19.098718643188477,0.7181242263908011,0.25100260972976685,True,,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/1f3262b25a8174d834d89387424bdf09.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1f3262b25a8174d834d89387424bdf09_uniform_c1_0023_s100065.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100065,True,already_exists_verified,False,0.19236800074577332,13.297622680664062,0.6446593827323767,0.019807865843176842,True,,0.08,10,1,1,True,True,True,True
