plan,image,class_id,class_name,prompt,clip_score,lpips
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05d59a12f6323d082b1cfd07a9673852_uniform_c1_0002_s100044.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.2789378762245178
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05ef1b83fab31eb6a2547c1b5c901873_uniform_c1_0003_s100045.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",,0.1834807097911834
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0819904ba018364295a314dc6d1dce9d_uniform_c1_0004_s100046.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",,0.1014906093478202
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/09c31c9c8acf27ece476a67280b27a8f_uniform_c1_0005_s100047.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",,0.3394572734832763
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0a89565a88041220e21da1029da7996e_uniform_c1_0006_s100048.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.3156979978084564
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0c87d94036b714a469ce88b5a56381df_uniform_c1_0008_s100050.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",,0.0303229223936796
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d4df0394b30ef029ebdab78adb0497b_uniform_c1_0010_s100052.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.1657072007656097
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0d6d9ddd77e8e06d0ad3f90d86562b77_uniform_c1_0011_s100053.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",,0.0789737105369567
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0df039260ed7ea35241dae4fb0ba8ce3_uniform_c1_0012_s100054.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",,0.2138997167348861
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0e716f31bca23b339e850909cd87f3ee_uniform_c1_0013_s100055.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",,0.1022813320159912
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/10b5be01a0076494be580195fba068b9_uniform_c1_0014_s100056.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.0896991118788719
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/123a1d94a3f5fb17755c913227e22ce6_uniform_c1_0015_s100057.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",,0.265020489692688
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1404c8bff2966732e6a92d5540b3eee0_uniform_c1_0016_s100058.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",,0.2585345804691314
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/171770f46575ca726c7ffc46227791fe_uniform_c1_0018_s100060.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.3225629031658172
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/188ca74e68f97684d5093c2922590a8f_uniform_c1_0019_s100061.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",,0.2842821776866913
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1baa21016514467a1e39a7681df8a287_uniform_c1_0020_s100062.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",,0.5714908242225647
uniform,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/1e5c8eec9398303eab6d1bd287877de7_uniform_c1_0022_s100064.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",,0.2510026097297668
