source_image,output_image,class_id,class_name,prompt,seed,accepted,reject_reason,bbox_pixel_diff,mask_padding,inference_steps,label_count_original,label_count_output,label_sanity_ok,output_exists,output_size_matches,nontrivial_image
/content/data/processed_pilot/base/images/train/01a9c84cf8d5523da74a5a3e3ddc535f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/01a9c84cf8d5523da74a5a3e3ddc535f_uniform_c1_0000_s100042.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100042,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/01eec1ab0a324ad589c8966ef232abc5.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/01eec1ab0a324ad589c8966ef232abc5_uniform_c1_0001_s100043.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100043,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/05d59a12f6323d082b1cfd07a9673852.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05d59a12f6323d082b1cfd07a9673852_uniform_c1_0002_s100044.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100044,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/05ef1b83fab31eb6a2547c1b5c901873.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/05ef1b83fab31eb6a2547c1b5c901873_uniform_c1_0003_s100045.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100045,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0819904ba018364295a314dc6d1dce9d.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0819904ba018364295a314dc6d1dce9d_uniform_c1_0004_s100046.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100046,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/08e60e94f7b89c4af429fb973099483f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/08e60e94f7b89c4af429fb973099483f_uniform_c1_0005_s100047.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100047,True,,0.0,0.08,10,2,2,True,True,True,True
/content/data/processed_pilot/base/images/train/09c31c9c8acf27ece476a67280b27a8f.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/09c31c9c8acf27ece476a67280b27a8f_uniform_c1_0006_s100048.jpg,1,A400M,"cloudy sky background, realistic atmosphere, aviation photography",100048,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0a89565a88041220e21da1029da7996e.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0a89565a88041220e21da1029da7996e_uniform_c1_0007_s100049.jpg,1,A400M,"clear blue sky, sunlight, realistic aircraft photography",100049,True,,0.0,0.08,10,1,1,True,True,True,True
/content/data/processed_pilot/base/images/train/0b1163fd37945dd5e787a7e9c6e4afb8.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0b1163fd37945dd5e787a7e9c6e4afb8_uniform_c1_0008_s100050.jpg,1,A400M,"realistic sky background, natural lighting, aviation photography, high resolution, realistic clouds",100050,True,,0.0,0.08,10,2,2,True,True,True,True
/content/data/processed_pilot/base/images/train/0c87d94036b714a469ce88b5a56381df.jpg,/content/data/processed_pilot/synthetic_inpaint/uniform/images/train/0c87d94036b714a469ce88b5a56381df_uniform_c1_0009_s100051.jpg,1,A400M,"realistic runway background, military airbase, natural lighting, aviation photography",100051,True,,0.0,0.08,10,1,1,True,True,True,True
